,div_stock_code,div_year,div_status,dividend_y_%,div_dividend(RM)
708,0223,2021,N,0.0,0.0
709,0223,2022,N,0.0,0.0
710,0225,2020,Y,0.866,0.004
711,0225,2021,Y,0.618,0.0021
712,0226,2018,N,0.0,0.0
713,0226,2019,N,0.0,0.0
714,0226,2020,N,0.0,0.0
715,0226,2021,N,0.0,0.0
716,0226,2022,N,0.0,0.0
717,0227,2022,Y,1.053,0.005
718,0228,2021,Y,3.6470000000000002,0.02
719,0228,2022,Y,3.371,0.015
720,0229,2022,Y,2.632,0.005
721,0230,2021,Y,1.587,0.01
722,0230,2022,Y,1.615,0.013000000000000001
723,0231,2021,Y,2.273,0.01
724,0232,2021,Y,3.21,0.013
725,0233,2018,N,0.0,0.0
726,0233,2019,N,0.0,0.0
727,0233,2020,N,0.0,0.0
728,0233,2021,N,0.0,0.0
729,0233,2022,N,0.0,0.0
730,0235,2018,N,0.0,0.0
731,0235,2019,N,0.0,0.0
732,0235,2020,N,0.0,0.0
733,0235,2021,N,0.0,0.0
734,0235,2022,N,0.0,0.0
735,0236,2018,N,0.0,0.0
